rest_name,rest_zone,rating,review,rest_address,rest_type,rest_cost,rest_time
QQ Kopitiam,"Plaza Indonesia, Thamrin",2,57,"Plaza Indonesia, Lantai 5, Jl MH Thamrin, Thamrin, Jakarta","Peranakan, Indonesia, Desserts",150,Jam:                                      10h - 22h (Sen-Min)
Kitchenette,"Kota Kasablanka, Tebet",4,48,"Kota Kasablanka, Lantai Ground, Food Society, Jl. Casablanca Raya, Tebet, Jakarta","Itali, Asia, Barat",350,Jam:                                      11h - 20h (Sen-Min)
Fish & Chips Threehouse,Bendungan Hilir,3.7,30,"Park Royale Executive Suites, Tower 1, Jl Gatot Subroto Kav 35-39, Bendungan Hilir, Jakarta",Barat,250,"Jam:                                      10h - 21h 30m (Sen),10h - 21h (Sel-Sab),Tutup (Min)"
Ga Ya Sung,"Grand Wijaya Center, Dharmawangsa",3.8,59,"Grand Wijaya Center, Jl. Wijaya 2, Dharmawangsa, Jakarta",Korea,150,Jam:                                      11h - 22h (Sen-Min)
Seroeni,"Lippo Mall Puri @ St. Moritz, Puri Indah",4.3,324,"Lippo Mall Puri @ The St. Moritz, Lantai 1, Jl. Puri Indah Boulevard Blok U No. 1, Puri Indah, Jakarta","Malaysia, Chinese",350,Jam:                                      10h - 22h (Sen-Min)
3rd Place - Posto Dormire Hotel,Grogol,4.1,109,"Posto Dormire Hotel, Jl. Dr. Susilo Raya No. 3, Grogol, Jakarta","Barat, Indonesia",200,Jam:                                      10h - 22h (Sen-Min)
Ikkudo Ichi,"Ruko Crown Golf, Pantai Indah Kapuk",4.3,524,"Ruko Crown Golf, Blok D No. 2-3, Bukit Golf Mediterania, Jl. Marina Indah Raya, Pantai Indah Kapuk, Jakarta","Ramen, Jepang",180,Jam:                                      11h - 22h (Sen-Min)
Bakmi Tiga Marga,Kebayoran Lama,3.6,40,"Jl. Biduri Bulan Blok I No. 12, Kebayoran Lama, Jakarta","Bakmi, Chinese",150,"Jam:                                      Tutup (Sen),7h - 14h (Sel-Min)"
Bakmi Metro,Sunter,3.9,92,"Jl. Danau Sunter Garden, Blok D8, Sunter, Jakarta",Bakmi,90,Jam:                                      6h 30m - 14h (Sen-Min)
Bakmi Ajong,Gunung Sahari,3.9,60,"Jl. Pademangan II Raya Samping, Gang 3 No. 18, Gunung Sahari, Jakarta",Bakmi,75,Jam:                                      17h - 1h (Sen-Min)
Bakmi Win,SCBD,3.6,44,"Jl. Tulodong Atas No.16, SCBD, Jakarta","Bakmi, Chinese",60,"Jam:                                      7h - 18h (Sen-Jum),8h - 18h (Sab-Min)"
Stark Taproom,SCBD,3.1,29,"Jl. Jend. Sudirman, Blok LOT No. 21, SCBD, Jakarta",Dimsum,300,"Jam:                                      7h - 22h (Sen-Jum),7h - 24h (Sab-Min)"
Bakmi Khek,Muara Karang,4.1,128,"Jl. Muara Karang Raya No. 115, Muara Karang, Jakarta","Bakmi, Chinese",80,Jam:                                      6h - 15h (Sen-Min)
Pentan Dimsum Bar,"The East, Kuningan",3.5,14,"The East, Jl. Doktor Ide Anak Agung Gde Agung No. 1, Kuningan, Jakarta","Dimsum, Asia",200,"Jam:                                      7h - 22h (Sen-Kam),7h - 5h (Jum),10h - 5h (Sab),10h..."
GogiJjang Korean BBQ,Hayam Wuruk,3.7,27,"Jl Hayam Wuruk No 81, Hayam Wuruk, Jakarta",Korea,300,Jam:                                      11h - 22h (Sen-Min)
Hunter and Grower,Kemang,3.8,31,"Jl. Kemang Timur No. 46A, Kemang, Jakarta","Barat, Makanan Sehat",150,Jam:                                      8h - 22h (Sen-Min)
Shu Guo Yin Xiang,"Senayan City, Senayan",3.7,33,"Senayan City, Lantai 5, Jl. Asia Afrika, Senayan, Jakarta",Chinese,350,Jam:                                      10h - 22h (Sen-Min)
Imperial Kitchen & Dimsum,"Mall Taman Anggrek, Tanjung Duren",3,26,"Mall Taman Anggrek, Lantai 1, Jl. Tanjung Duren Timur 2, Tanjung Duren, Jakarta","Dimsum, Chinese",250,Jam:                                      10h - 22h (Sen-Min)
RARA Ramen & Bar,"Humble House, Dharmawangsa",3,11,"Humble House, Jl. Wijaya 2 No. 123, Dharmawangsa, Jakarta 12160",Ramen,160,"Jam:                                      11h - 1h (Sen, Sel, Rab, Kam, Min), 11h - 2h (Jum-Sab)"
Mr. Park,"Mall of Indonesia, Kelapa Gading",3.9,62,"Ruko Italian Walk, Blok J No. 23, Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta",Korea,350,Jam:                                      11h - 24h (Sen-Min)
Ichiro Ramen Market,"AEON Mall, Serpong",3.2,596,"AEON Mall, Lantai 3, Ramen Village, Jl. BSD Raya Utama, Serpong, Tangerang","Ramen, Jepang",160,Jam:                                      10h - 22h (Sen-Min)
Toast Box,"Mall Taman Anggrek, Tanjung Duren",2.5,33,"Mall Taman Anggrek, Lantai Ground, Jl. Letjen. S. Parman, Tanjung Duren, Jakarta",Singapura,100,Jam:                                      10h - 22h (Sen-Min)
Seirock-Ya,"Puri Indah Mall, Puri Indah",4.1,72,"Puri Indah Mall, Jl. Puri Indah Raya, Puri Indah, Jakarta","Jepang, Ramen",160,Jam:                                      10h - 22h (Sen-Min)
PIG Me Up!,"Mall of Indonesia, Kelapa Gading",3.6,40,"Mall of Indonesia, Lantai 2, Dotonbori, Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta",Chinese,100,Jam:                                      10h - 22h (Sen-Min)
Hotaru Deli,Kebayoran Lama,3.9,21,"Jl. Arteri Permata Hijau No. 11, Kebayoran lama, Jakarta",Jepang,200,Jam:                                      11h - 20h (Sen-Min)
Wok Eat Out,Cilandak,3.6,11,"Jl. Cipete Raya No.2C, Cilandak, Jakarta",Chinese,150,Jam:                                      11h - 22h (Sen-Min)
Medja Restaurant,Bogor Timur,4,278,"Jl. Pajajaran Indah V No. 6, Bogor Timur, Bogor",Indonesia,360,"Jam:                                      11h - 20h (Sen-Jum),10h - 20h (Sab-Min)"
